SiO2	Al2O3	FeOt	MgO	MnO	CaO	Na2O	K2O	TiO2	Rb	Sr	Ba	Zr	V	Ni	Y	La	Nb	Ta
a19	63.41755333	16.20586374	4.653938283	2.703632576	0.116613572	5.111161408	3.618856864	1.849901108	0.483886379	47.53798767	368.3600087	814.6318586	203.2742912	30.6558543	4.238096589	8.395057932	23.38215415	7.496250415	0.549573236
a2	64.12632636	16.41360806	4.812120626	2.880311191	0.115707354	5.305283579	3.704213033	1.769004621	0.539072479	43.55426872	418.5329888	900.4481707	207.3807341	31.83521282	4.775507161	9.141910971	21.73042827	7.156979879	0.502645922
a20	62.86274878	16.36907807	5.489666925	3.347768569	0.113857673	5.929582592	3.620091261	1.65874552	0.668311371	43.16486609	477.964914	795.0376051	193.4131321	58.21735138	9.10749471	11.46213712	19.87371163	6.449112373	0.523250559
a21	61.94397227	16.54633097	5.960005299	3.49572529	0.112847041	6.12985205	3.771130134	1.583222776	0.692628498	41.22541331	451.5083745	746.481172	174.4552929	64.57608712	11.59993264	12.26259889	22.11570732	6.570044028	0.507646314
a22	61.06321021	17.42778035	5.435391357	3.224735791	0.111280743	5.765673299	3.521659801	1.634970757	0.679415078	38.20254957	441.2721416	763.4151082	185.949093	60.73991062	10.37503121	11.78292862	22.19624563	7.264212139	0.500526246
a23	69.66074555	15.67786546	3.2885103	1.915423591	0.114307165	3.909649153	3.695014575	2.029543806	0.288489297	58.88114913	299.5895996	958.0324155	135.1117523	12.10543843	1.755008348	6.784734256	25.60282658	7.546016087	0.551670602
a24	62.55069564	17.12036033	5.586571195	3.416607492	0.11144689	5.855789207	3.557941431	1.636091101	0.693467167	38.97295213	412.5978611	720.9803283	184.0756771	58.84326635	9.753781933	11.71907269	20.7143218	5.52493908	0.422883113
a25	57.41683935	16.77112399	6.954489336	3.958527382	0.107038325	6.777855313	3.554245031	1.416321828	0.809519415	36.91941499	524.3027472	615.205511	148.6833686	140.2753764	33.00505921	14.78003226	17.0472142	5.916937029	0.413813984
a3	56.76915059	17.24182606	6.992211877	4.32984606	0.111815283	7.281730797	3.563398963	1.316105577	0.900794787	29.55615628	596.8365111	648.5242691	142.3458922	203.0826165	46.16778257	16.86650563	17.81749392	5.418298326	0.447643661
a4	68.77535258	15.50624236	2.662165021	1.452756869	0.113960157	3.39219264	3.576302885	2.245949479	0.166474763	62.18381276	259.4022404	1080.301736	91.42976779	9.014573535	1.057001314	6.376894174	25.67890296	8.177318335	0.659319951
a5	63.89825843	15.98299774	5.15234818	2.930635483	0.112629924	5.441310963	3.615842255	1.722598198	0.586193004	40.98026137	394.6287145	885.4997446	202.9756201	42.12451218	6.731290023	11.23153452	21.40988132	6.727086241	0.517540766
a6	64.51488293	15.97028241	3.7895243	2.172767234	0.117850731	4.502629733	3.740224024	2.03152744	0.348352275	52.84574486	322.6511406	925.8314615	179.6377562	17.6146121	2.224219866	7.675757504	23.42664725	7.973997298	0.544002936
a7	66.02615015	15.95343087	4.086578179	2.352291265	0.112080258	4.545651959	3.623761653	1.996358323	0.397748882	50.97940764	332.6859737	956.3065554	222.5458197	20.4897787	2.307347275	7.339083793	20.52312348	6.783924418	0.565189881
a8	67.4005737	15.76250395	2.829910003	1.524021059	0.115038165	3.334989113	3.694240518	2.102988138	0.185257288	63.96425658	282.5294402	976.1103879	92.7207009	9.334430875	1.215844434	6.394969234	24.15776395	7.75406055	0.630297723
a9	57.85699055	17.30002823	6.623191658	4.121159789	0.111458841	6.892661016	3.585041457	1.428664728	0.838770819	32.37508447	496.2629104	592.3654251	144.3060651	128.1288379	31.13668693	15.82004209	17.73452686	5.227877492	0.427971194
