Volcano	symbol	Colour	Size	SiO2	TiO2	Al2O3	Fe2O3	MnO	MgO	CaO	Na2O	K2O	P2O5	Li	Be	Sc	V	Cr	Ni	Rb	Sr	Y	Zr	Nb	Ba	La	Ce	Nd	Sm	Eu	Gd	Dy	Er	Yb	Th	87Sr/86Sr	143Nd/144Nd
ATAC-15	Atacazo	16	24	1.3	60.31	0.6	16.79	6.51	0.09	4.27	6.03	4.22	1.06	0.12	10	0.79	18	147	137	43	19	420	13.4	89	2.5	455	8	16.5	10.2	2.4	0.76	2.8	2.1	1.25	1.28	1.3		
ATAC-16	Atacazo	16	24	1.3	60.41	0.65	16.09	7.2	0.1	4.23	6.54	3.71	0.93	0.14	10.3	0.67	16	170	179	45	16.7	428	12.3	82	3.2	475	7.8	17	10.5	2.65	0.78	2.8	2.25	1.05	0.98	1.3	0.704181	0.512873
ATAC-17	Atacazo	16	24	1.3	60.44	0.64	16.12	7.1	0.1	4.25	6.6	3.73	0.89	0.14	9.5	0.66	16	168	182	45	15	430	12	81	2.9	470	7.7	16.5	10.4	2.7	0.79	2.55	2.15	1.05	0.94	1.45		
ATAC-18	Atacazo	16	24	1.3	60.53	0.65	15.89	7.54	0.11	4.22	6.33	3.57	1.03	0.15	14.3	0.81	18	171	160	46	21	399	13.5	90	3.5	493	9.6	20	11.5	2.9	0.82	2.8	2.3	1.3	1.2	1.95		
ATAC-19	Atacazo	16	24	1.3	60.56	0.6	15.94	7.52	0.11	4.35	6.34	3.42	1.03	0.13	15.4	0.7	18	167	178	45	23.3	353	12.8	85	3.6	550	7.7	16.5	11	2.5	0.77	2.45	2.3	1.2	1.18	1.45		
ATAC-20	Atacazo	16	24	1.3	60.67	0.6	16.52	7.19	0.1	3.87	6.09	3.74	1.09	0.13	16	0.76	16	160	130	37	23	412	12.8	84	3.1	512	8.8	18.7	12	2.6	0.77	2.4	2.2	1.2	1.14	1.65	0.704223	0.512862
ATAC-21	Atacazo	16	24	1.3	60.68	0.67	16.55	7.64	0.1	3.21	6.22	3.69	1.08	0.15	12.7	0.7	14	192	54	22	22	425	12.2	83	3.7	540	9.8	19	11.7	2.85	0.81	2.8	2.3	1.1	0.94	1.55		
ATAC-22	Atacazo	16	24	1.3	60.72	0.66	16.11	7.23	0.11	3.87	6.44	3.59	1.11	0.15	12.4	0.64	17	172	162	43	23.7	404	15.6	92	4	615	10.5	21	13.2	3.15	0.87	3	2.65	1.4	1.32	1.5		
ATAC-23	Atacazo	16	24	1.3	60.73	0.61	16.75	6.68	0.09	4.02	5.95	3.97	1.07	0.13			19	157	132	29	20.5	382	15	96	2.9	532	9	18	12.3	2.6	0.8	2.7	2.45	1.5	1.41	1.5	0.704221	0.512858
ATAC-24	Atacazo	16	24	1.3	60.75	0.61	16.34	6.54	0.09	4.29	6.15	4.09	1.01	0.13	9.9	0.82	19	155	152	50	17	414	13.9	91	2.9	480	7.4	16	10	2.45	0.78	2.7	2.2	1.25	1.25	1.75	0.704096	0.512887
ATAC-25	Atacazo	16	24	1.3	60.75	0.61	15.79	7.5	0.11	4.25	6.39	3.44	1.04	0.13	16.4	0.71	18	175	184	47	23	356	13.4	89	3.4	535	8	16.5	10.5	2.8	0.8	2.8	2.3	1.3	1.2	1.55		
ATAC-26	Atacazo	16	24	1.3	60.75	0.61	16.34	6.54	0.09	4.29	6.15	4.09	1.01	0.13	9.9	0.82	19	155	152	50	17	414	13.9	91	2.9	480	7.4	16	10	2.45	0.78	2.7	2.2	1.25	1.25	1.75		
ATAC-27	Atacazo	16	24	1.3	60.79	0.66	16.3	7.46	0.1	3.63	6.32	3.57	1.01	0.15	15.6	0.77	17	180	127	30	21.7	372	13.2	92	3.5	585	8.8	19.5	11	2.75	0.82	2.8	2.4	1.15	1.08	1.8	0.704347	0.512834
ATAC-28	Atacazo	16	24	1.3	60.83	0.63	16.14	7.44	0.1	3.72	6.69	3.34	0.97	0.14	16.6	0.7	20	178	120	28	23.6	355	17.5	90	3.5	550	9.7	21	12.7	3.25	0.85	3.5	3.05	1.6	1.58	1.35		
ATAC-29	Atacazo	16	24	1.3	60.89	0.61	15.93	7.52	0.1	4.13	6.1	3.54	1.04	0.14	13.3	0.72	18	175	170	46	21.6	379	11.2	80	3.2	510	7.2	15.5	9.2	2.4	0.73	2.4	2.05	1.1	1.04	1.5	0.704372	0.51282
ATAC-30	Atacazo	16	24	1.3	60.95	0.7	15.84	6.74	0.08	4.3	6.18	3.83	1.19	0.18	6.9	0.85	16	165	184	63	24	485	14	105	4.3	553	11.2	23	13.1	2.9	0.87	2.6	2.4	1.3	1.2	1.25		
ATAC-31	Atacazo	16	24	1.3	60.95	0.7	15.84	6.74	0.08	4.3	6.18	3.83	1.19	0.18	6.9	0.85	16.3	165	184	63	24	485	14	105	4.3	553	11.2	23	13.1	2.9	0.87	2.6	2.4	1.3	1.2	1.25		
ATAC-32	Atacazo	16	24	1.3	60.98	0.63	15.85	7.47	0.11	4.51	5.82	3.56	0.94	0.13	13.4	0.68	21	165	195	52	19.9	350	14.5	86	3.2	450	7.9	16.7	9.8	2.4	0.77	2.5	2.4	1.35	1.3	1.4		
ATAC-33	Atacazo	16	24	1.3	61.02	0.67	16.64	6.58	0.09	3.9	5.65	4.2	1.12	0.14	10.6	0.87	16	150	124	51	20.3	398	13.8	106	3.4	502	10	18.7	13	3.1	0.86	3.05	2.4	1.3	1.16	1.5		
ATAC-34	Atacazo	16	24	1.3	61.02	0.67	16.64	6.58	0.09	3.9	5.65	4.2	1.12	0.14	10.6	0.87	16	150	124	51	20.3	398	13.8	106	3.4	502	10	18.7	13	3.1	0.86	3.05	2.4	1.3	1.16	1.5		
ATAC-35	Atacazo	16	24	1.3	61.49	0.58	15.9	7.07	0.1	3.88	6.27	3.55	1.01	0.14	13.4	0.68	18	164	150	42	20.5	391	11.2	81	3	600	7.7	15.5	9.7	2.35	0.74	2.35	1.8	1.1	1.01	1.4		0.512828
ATAC-36	Atacazo	16	24	1.3	61.65	0.6	16.45	7.09	0.09	3.24	6.43	3.34	0.99	0.13	10.5	0.7	19	170	95	23	21.4	386	15	79	3.3	980	9	17	11	2.6	0.82	2.7	2.4	1.3	1.24	1.3		
ATAC-37	Atacazo	16	24	1.3	61.67	0.57	17.15	6.52	0.09	2.72	6.17	4.01	0.97	0.14	11.6	0.72	13	147	41	16	17.4	429	10.7	77	3.1	526	7.8	17	9.8	2.45	0.78	2.5	2	0.9	0.84	1.4		
ATAC-38	Atacazo	16	24	1.3	61.71	0.63	15.81	7.17	0.1	3.64	6.26	3.69	0.85	0.15	8.4	0.77	15	158	139	37	20	387	11	88	3.4	460	8.8	17.5	11.7	2.8	0.78	2.7	2	1	0.95	1.4		
ATAC-39	Atacazo	16	24	1.3	61.71	0.6	15.93	7.01	0.1	3.83	6.03	3.59	1.06	0.14	13.1	0.74	16	158	150	39	23.3	390	11.3	83	3.3	533	8	17	10.1	2.6	0.71	2.5	1.95	1.1	0.97	1.5		
ATAC-40	Atacazo	16	24	1.3	61.71	0.61	16.28	6.86	0.1	3.39	6.31	3.44	1.15	0.15	12.6	0.72	17	165	122	27	24.9	415	12	94	3.8	650	10.1	20.5	11.6	2.7	0.78	2.7	2.2	1.1	1.01	2.4	0.704313	0.512828
ATAC-41	Atacazo	16	24	1.3	61.74	0.62	16.69	6.27	0.09	3.97	5.39	3.96	1.14	0.13	13.1	0.87	17	155	160	55	20.3	380	13.3	102	3.3	730	10	19	11.2	2.45	0.79	2.6	2.3	1.3	1.16	2.2		
ATAC-42	Atacazo	16	24	1.3	61.74	0.62	16.69	6.27	0.09	3.97	5.39	3.96	1.14	0.13	13.1	0.87	17	155	160	55	20.3	380	13.3	102	3.3	730	10	19	11.2	2.45	0.79	2.6	2.3	1.3	1.16	2.2		
ATAC-43	Atacazo	16	24	1.3	61.83	0.59	15.88	7.01	0.1	3.82	6.03	3.5	1.11	0.12	10.1	0.79	17	156	132	32	23.6	383	11.4	79	3.1	565	7.9	16	9.6	2.5	0.74	2.5	2.05	1.1	1	1.55		
ATAC-44	Atacazo	16	24	1.3	61.91	0.58	15.83	6.86	0.09	3.71	6.16	3.61	1.1	0.15	13.8	0.7	16	154	146	40	23	389	11	88	2.7	558	8.4	17	9.9	2.5	0.74	2.55	1.95	1	0.95	1.45		
ATAC-45	Atacazo	16	24	1.3	62.04	0.61	15.94	7.08	0.1	3.69	5.77	3.53	1.1	0.14	13.7	0.75	17	159	150	38	23.3	379	11.2	86	3.4	555	7.2	17	9.6	2.7	0.7	2.5	2.1	1.05	1	1.7		
ATAC-46	Atacazo	16	24	1.3	62.1	0.63	16.03	6.94	0.09	3.3	5.65	4.01	1.13	0.14	15.3	0.74	14	150	136	32	21.4	412	11.1	95	3.3	550	8.6	18.5	11.3	2.75	0.77	2.6	2.05	1	0.94	1.65	0.70427	0.512852
ATAC-47	Atacazo	16	24	1.3	62.11	0.57	15.96	7.02	0.1	3.42	5.91	3.62	1.17	0.12	17.5	0.72	16	154	114	33	27.5	345	11.8	89	3.3	578	8	17	9.2	2.35	0.73	2.2	2.05	1.1	1.05	1.5		
ATAC-48	Atacazo	16	24	1.3	62.16	0.63	15.89	6.87	0.09	3.46	5.71	3.93	1.12	0.14	15.2	0.76	14	148	126	31	22.1	408	12.2	96	3.5	545	9.5	19	12.2	2.9	0.82	2.7	2.2	1.1	0.98	1.55		
ATAC-49	Atacazo	16	24	1.3	62.3	0.63	16.21	6.91	0.08	3.22	5.52	3.87	1.11	0.14	18.8	0.8	14	150	132	32	23	407	12	95	3.4	540	10.5	22	14	3.2	0.85	2.6	2.3	1.05	0.98	1.7		
ATAC-50	Atacazo	16	24	1.3	62.7	0.64	16.95	6.3	0.08	2.31	5.72	4.13	1.02	0.14	7.5	0.78	10	135	32	11	17.4	439	9.7	75	3.6	540	9.5	20	11.7	2.85	0.83	2.95	1.85	0.8	0.65	1.45	 	0.512882
ATAC-51	Atacazo	16	24	1.3	62.88	0.71	17.95	6.21	0.07	1.88	5.14	4.05	0.94	0.18	15.4	0.87	7	122	13	5	17.5	492	7.6	94	4.4	630	8.9	20	11.5	2.8	0.82	2.7	1.6	0.65	0.48	1.55		
ATAC-52	Atacazo	16	24	1.3	62.98	0.56	16.32	6.4	0.09	3.04	5.77	3.77	0.94	0.13	10	0.72	14	138	84	24	18.1	395	11.5	88	3.3	545	9.9	18.5	11.3	2.8	0.78	2.55	2	1.1	1	1.9		
ATAC-53	Atacazo	16	24	1.3	63	0.62	16.41	6.53	0.08	2.55	5.67	3.97	1.02	0.14	15.7	0.75	12	148	60	17	20.6	386	10.5	86	3.3	515	8.1	16	9.7	2.5	0.76	2.35	1.85	0.9	0.79	1.6		
ATAC-54	Atacazo	16	24	1.3	63.21	0.57	16.27	6.39	0.09	2.93	5.61	3.44	1.37	0.13	11.3	0.73	14	143	82	18	25.8	356	11.6	88	3.4	342	9.2	20	10.7	2.5	0.76	2.6	2.05	1	1	1.7		
ATAC-55	Atacazo	16	24	1.3	63.33	0.62	16.58	6.13	0.08	2.27	5.61	4.17	1.05	0.15	12.8	0.79	10	132	42	13	18.8	439	8.9	75	3.5	540	9	20	11	2.7	0.81	2.6	1.8	0.8	0.63	1.5		
ATAC-56	Atacazo	16	24	1.3	63.74	0.69	17.07	6.21	0.07	1.81	5.28	3.95	0.98	0.19	15.1	0.89	7	128	16	5	18	448	8	95	4.4	535	9.8	20.8	12.5	2.75	0.85	2.7	1.6	0.6	0.5	1.6	0.704281	0.512845
ATAC-57	Atacazo	16	24	1.3	63.87	0.64	16.27	6.19	0.08	2.16	5.49	4.09	1.08	0.15	15	0.79	7	125	14	4	19.2	455	8	68	4.1	550	9	20	11.8	2.9	0.88	3.2	1.6	0.8	0.48	1.45		
ATAC-58	Atacazo	16	24	1.3	63.91	0.68	16.86	6.14	0.07	1.82	5.17	4.19	1.01	0.16	13.4	0.77	9	138	37	11	20.6	430	8.8	88	3.9	572	9	21	12	2.8	0.9	2.35	1.9	0.7	0.6	1.35		
NINA-1	Ninahuilca	1	2	1.3	64.17	0.66	17.05	5.85	0.07	1.77	5.05	4.2	1.02	0.16	15.4	0.88	7	118	13	6	19.4	448	7.6	89	4.3	540	9.5	20	12	2.95	0.82	2.55	1.55	0.55	0.52	1.55	0.70428	0.512853
NINA-2	Ninahuilca	1	2	1.3	64.3	0.56	17.1	5.65	0.07	1.83	5.22	4.04	1.08	0.13	16.3	0.82	7	115	12	5	22.2	437	7.5	73	3.2	570	8	16.5	9.8	2.35	0.68	2.35	1.5	0.6	0.49	1.35	0.704165	0.512886
NINA-3	Ninahuilca	1	2	1.3	64.35	0.57	17.35	5.46	0.06	1.79	5.04	4.16	1.09	0.13	16.4	0.82	7	108	12	5	21	442	7.5	80	3.6	590	8.3	17.5	10.2	2.6	0.73	2.3	1.55	0.6	0.48	1.65		
NINA-4	Ninahuilca	1	2	1.3	64.36	0.67	16.76	5.86	0.06	1.76	5.14	4.19	1.05	0.15	15.1	0.86	7	120	13	5	19.3	448	7.4	92	4.3	550	9.1	20	11.9	2.8	0.8	2.45	1.6	0.6	0.45	1.5		
NINA-5	Ninahuilca	1	2	1.3	64.53	0.54	16.96	5.29	0.07	1.77	5.32	4.23	1.14	0.14	16.2	0.79	7	115	12	7	22.5	452	8	69	3.4	625	8.4	18	10	2.5	0.75	2.3	1.6	0.7	0.52	1.65		
NINA-6	Ninahuilca	1	2	1.3	64.56	0.65	16.44	5.79	0.07	1.8	5.21	4.25	1.06	0.16	14.75	0.84	7	120	14	6	19.3	458	8	91	4.5	570	9.8	21	12.2	2.8	0.83	2.5	1.6	0.6	0.5	1.45		
NINA-7	Ninahuilca	1	2	1.3	64.56	0.58	16.96	5.91	0.06	1.64	4.85	4.17	1.13	0.13	16.4	0.82	6	126	15	5	23	435	7.3	76	3.3	620	8.3	17.8	10.7	2.5	0.71	2.45	1.5	0.65	0.44	1.55	0.704166	0.512888
NINA-8	Ninahuilca	1	2	1.3	64.62	0.52	16.83	5.28	0.07	1.85	5.34	4.21	1.14	0.13	16.1	0.79	7	107	12	7	23	447	8.1	65	2.9	615	8.3	17.5	10.3	2.25	0.74	2.4	1.65	0.7	0.54	1.6		
NINA-9	Ninahuilca	1	2	1.3	64.63	0.55	17.07	5.44	0.07	1.73	5.05	4.23	1.1	0.12	15.6	0.81	6	108	12	5	21.7	448	7.4	74	3	585	8	17	10.1	2.35	0.66	2.3	1.45	0.7	0.4	1.8		
NINA-10	Ninahuilca	1	2	1.3	64.65	0.54	17.06	5.48	0.06	1.74	5.28	4	1.06	0.14	16.2	0.82	7	110	12	5	21.5	443	7.6	80	3.3	635	7.9	18	9.7	2.4	0.69	2.4	1.5	0.6	0.46	1.45		
NINA-11	Ninahuilca	1	2	1.3	64.65	0.56	16.98	5.61	0.06	1.72	5.01	4.16	1.1	0.13	16	0.8	6	119	14	5	23	441	7.2	76	3.4	610	7.7	16.2	9.7	2.35	0.68	2.45	1.4	0.6	0.42	1.35		
NINA-12	Ninahuilca	1	2	1.3	64.67	0.64	17.12	5.57	0.06	1.68	4.95	4.08	1.04	0.18	16	0.89	6	108	13	5	19.4	453	7.4	70	4.4	530	10	21.7	12.4	2.8	0.81	2.7	1.5	0.6	0.47	1.65		
NINA-13	Ninahuilca	1	2	1.3	64.68	0.54	16.87	5.33	0.07	1.75	5.29	4.19	1.14	0.14	16.4	0.78	7	118	13	7	22	453	8	67	3.3	615	8.5	17	10	2.55	0.76	2.25	1.6	0.7	0.53	1.6		
NINA-14	Ninahuilca	1	2	1.3	64.69	0.56	17.34	5.3	0.06	1.67	4.73	4.37	1.15	0.12	17	0.85	6	102	11	5	22.5	440	7.2	73	3.3	575	8	16.8	9.9	2.5	0.71	2.3	1.45	0.6	0.45	1.45		
NINA-15	Ninahuilca	1	2	1.3	64.7	0.54	17.25	5.27	0.06	1.7	4.81	4.4	1.14	0.12	16.4	0.83	6	100	11	5	22	443	7.2	73	3.1	570	7.9	17	9.4	2.55	0.72	2.25	1.45	0.6	0.46	1.45		
NINA-16	Ninahuilca	1	2	1.3	64.72	0.55	17.12	5.4	0.06	1.7	4.99	4.23	1.1	0.12	16.2	0.82	7	110	11	5	21.6	440	7.4	74	3	575	8	17.2	9.7	2.4	0.7	2.2	1.45	0.6	0.45	1.65		
NINA-17	Ninahuilca	1	2	1.3	64.74	0.55	17.06	5.4	0.06	1.73	4.95	4.26	1.12	0.12	16.5	0.82	7	105	11	5	22	436	7.3	76	3.2	570	7.8	16.8	9.7	2.6	0.71	2.25	1.45	0.6	0.46	1.5		
NINA-18	Ninahuilca	1	2	1.3	64.75	0.55	16.96	5.45	0.07	1.77	5.09	4.09	1.14	0.13	16.4	0.81	7	108	11	5	22.4	428	7.5	76	3.1	580	8.1	16.5	9.8	2.45	0.73	2.5	1.55	0.6	0.49	1.65		
NINA-19	Ninahuilca	1	2	1.3	64.77	0.54	17.07	5.37	0.06	1.71	4.93	4.27	1.14	0.14	16.8	0.82	6	110	13	6	23.3	443	7.4	76	3.4	615	8	16.6	10.1	2.5	0.65	2.35	1.45	0.6	0.46	1.4		
NINA-20	Ninahuilca	1	2	1.3	64.77	0.53	17.12	5.29	0.06	1.68	5.07	4.27	1.07	0.13	16.2	0.83	7	110	12	6	21.2	444	7.3	76	3.3	606	8.2	16.5	10.3	2.2	0.72	2.25	1.45	0.5	0.45	1.5		
NINA-21	Ninahuilca	1	2	1.3	64.83	0.55	17.04	5.42	0.06	1.69	4.96	4.21	1.1	0.13	16.7	0.84	7	114	13	8	21.8	440	7.2	76	3.4	620	8	17	9.8	2.4	0.76	2.3	1.35	0.6	0.48	1.65		
NINA-22	Ninahuilca	1	2	1.3	64.9	0.55	16.94	5.44	0.06	1.64	4.98	4.23	1.13	0.12	16.3	0.78	6	110	12	5	23.4	445	7	74	3.1	612	8.1	16.5	9.7	2.2	0.69	2.2	1.4	0.6	0.4	1.45	0.704155	0.512885
NINA-23	Ninahuilca	1	2	1.3	65.11	0.54	16.92	5.26	0.06	1.66	4.92	4.24	1.15	0.13	16.5	0.81	6	107	12	5	23	441	7.3	76	3.3	620	7.6	16.5	9.8	2.25	0.69	2.3	1.4	0.6	0.44	1.55		
NINA-24	Ninahuilca	1	2	1.3	65.12	0.54	16.97	5.1	0.06	1.74	5.1	4.14	1.1	0.13	16.4	0.83	6	110	12	5	22.2	440	7.4	72	3.1	600	7.9	16.5	9.8	2.25	0.7	2.3	1.45	0.6	0.43	1.45		
NINA-25	Ninahuilca	1	2	1.3	65.18	0.54	16.6	5.39	0.07	1.74	5.01	4.24	1.1	0.12	15.7	0.78	6	108	12	5	22	440	7.1	74	3.2	600	7.9	16.5	9.7	2.3	0.7	2.25	1.45	0.6	0.44	1.5		
NINA-26	Ninahuilca	1	2	1.3	65.2	0.54	16.51	5.45	0.07	1.68	5	4.28	1.14	0.12	16.4	0.78	6	112	13	5	22.3	441	7.4	72	3.3	625	8.7	18	10.4	2.4	0.73	2.2	1.5	0.6	0.47	1.45		
NINA-27	Ninahuilca	1	2	1.3	65.28	0.63	16.22	5.54	0.06	1.68	5.08	4.23	1.14	0.13	11.8	0.86	7	114	13	5	20.7	452	7.8	92	4.3	590	10.2	21.5	12.4	2.8	0.81	2.65	1.55	0.65	0.49	1.7		0.51284
NINA-28	Ninahuilca	1	2	1.3	65.32	0.52	16.97	5.14	0.06	1.65	4.83	4.22	1.16	0.12	16.9	0.81	6	102	11	5	23.2	436	7	73	3.3	610	8	16.5	9.5	2.5	0.69	2.25	1.3	0.6	0.43	1.45		
NINA-29	Ninahuilca	1	2	1.3	65.33	0.52	16.94	5.13	0.06	1.65	4.9	4.2	1.14	0.12	16.4	0.81	6	104	12	5	23.9	438	7.1	76	3.3	630	7.8	16.6	9.5	2.35	0.68	2.15	1.35	0.6	0.43	1.5		
NINA-30	Ninahuilca	1	2	1.3	65.33	0.53	16.83	5.21	0.06	1.65	4.8	4.29	1.17	0.12	17	0.84	6	107	14	5	24.4	436	7.2	78	3.2	645	8.7	17.6	10.7	2.25	0.7	2.45	1.45	0.6	0.45	1.6		
NINA-31	Ninahuilca	1	2	1.3	65.4	0.53	16.9	5.18	0.06	1.58	4.8	4.27	1.16	0.12	17.1	0.81	6	102	11	5	23.9	438	6.9	74	3.1	640	8.3	18	10	2.3	0.69	2.3	1.4	0.6	0.41	1.45		
NINA-32	Ninahuilca	1	2	1.3	65.42	0.53	16.89	5.19	0.06	1.62	4.86	4.13	1.17	0.12	17.3	0.82	6	100	12	5	24.3	436	7	74	3	600	8.1	17	9.7	2.45	0.68	2.45	1.4	0.55	0.45	1.45		
NINA-33	Ninahuilca	1	2	1.3	65.5	0.51	16.68	5.1	0.06	1.66	5	4.2	1.15	0.12	15.7	0.78	6	100	10	5	22.5	438	7	72	3.3	625	7.1	16	9.2	2.2	0.64	1.75	1.35	0.6	0.42	1.45		
NINA-34	Ninahuilca	1	2	1.3	65.5	0.52	16.63	5.24	0.06	1.65	4.8	4.33	1.14	0.12			6	106	12	4	23	442	7	72	2.8	612	7.5	16	9.7	2.4	0.71	2.8	1.4	0.6	0.45	1.45	0.704204	0.512894
NINA-35	Ninahuilca	1	2	1.3	65.6	0.54	16.5	5.23	0.06	1.67	4.87	4.2	1.19	0.13	17	0.81	6	102	11	6	24	434	7.2	72	3.2	660	8	16.5	9.7	2.2	0.69	2.15	1.3	0.6	0.43	1.55		
NINA-36	Ninahuilca	1	2	1.3	65.62	0.53	16.46	5.2	0.06	1.65	4.95	4.23	1.18	0.12	17	0.83	6	104	12	5	23.6	440	7.5	76	3.2	665	8.7	18	10.5	2.3	0.7	2.25	1.5	0.6	0.47	1.9		
NINA-37	Ninahuilca	1	2	1.3	65.67	0.52	16.57	5.11	0.06	1.69	4.91	4.14	1.2	0.12	14.6	0.8	6	102	12	5	23.9	439	7.3	74	3.3	625	8.1	17	9.5	2.35	0.71	2.4	1.45	0.6	0.45	1.55	0.70419	0.51288
NINA-38	Ninahuilca	1	2	1.3	65.68	0.62	16.04	5.52	0.06	1.67	4.96	4.14	1.15	0.14	15.2	0.86	7	115	15	5	21.2	444	7.7	71	4.4	610	10	21	12	2.7	0.82	2.65	1.55	0.6	0.5	1.7		
NINA-39	Ninahuilca	1	2	1.3	65.69	0.52	16.53	5.15	0.06	1.67	4.85	4.23	1.17	0.12	15.7	0.81	6	105	12	5	23.6	439	7.3	74	3.3	650	8	16.7	10	2.35	0.71	2.35	1.5	0.6	0.45	1.7		
NINA-40	Ninahuilca	1	2	1.3	65.7	0.6	16.4	5.19	0.06	1.61	4.84	4.29	1.16	0.15	11.9	0.88	6	100	11	5	20.7	454	7.4	63	4.2	590	9.9	21.5	12.3	2.9	0.82	2.7	1.55	0.6	0.48	1.55		
NINA-41	Ninahuilca	1	2	1.3	65.72	0.61	16.15	5.37	0.06	1.74	4.93	4.14	1.15	0.13	11	0.82	7	110	14	5	21.4	439	7.7	68	4.3	630	9.5	19.5	12	2.7	0.8	2.6	1.55	0.6	0.5	1.55		
NINA-42	Ninahuilca	1	2	1.3	65.73	0.52	16.51	5.05	0.06	1.63	4.97	4.21	1.21	0.12	17	0.8	6	101	13	5	24.5	432	7.1	74	3.2	670	8.6	17.7	10.7	2.35	0.63	2.35	1.4	0.6	0.45	1.45		
NINA-43	Ninahuilca	1	2	1.3	65.73	0.53	16.46	5.16	0.06	1.68	4.91	4.19	1.17	0.12	15.3	0.8	6	107	12	5	23.4	439	7.2	73	3.3	650	8	16.7	9.6	2.35	0.71	2.2	1.45	0.6	0.46	1.5		
NINA-44	Ninahuilca	1	2	1.3	65.79	0.55	16.42	5.22	0.06	1.64	4.81	4.17	1.2	0.13	15.3	0.81	6	103	12	5	23.6	431	7	72	3	660	7.8	16.5	9.5	2.3	0.65	2.2	1.35	0.6	0.43	1.45		
NINA-45	Ninahuilca	1	2	1.3	65.82	0.52	16.36	5.09	0.06	1.67	4.91	4.24	1.19	0.13	15.8	0.8	6	105	13	5	24.4	435	7.3	73	3.3	660	8	16.5	9.6	2.4	0.71	2.2	1.45	0.6	0.47	1.6		
NINA-46	Ninahuilca	1	2	1.3	65.84	0.53	16.38	5.2	0.06	1.62	4.76	4.25	1.22	0.13	12.9	0.82	6	107	13	5	24.5	435	7.1	72	3.4	675	8.3	16.7	10	2.35	0.71	2.25	1.4	0.55	0.44	1.5		
NINA-47	Ninahuilca	1	2	1.3	65.88	0.6	16.17	5.16	0.06	1.57	4.98	4.27	1.16	0.15	12.3	0.87	6	105	12	6	21.5	454	7.4	68	4.5	620	10.2	21	12.3	2.8	0.81	2.6	1.5	0.6	0.45	1.55	0.704272	0.51284
